rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2602.11291v2,H-WM: Robotic Task and Motion Planning Guided by Hierarchical World Model,2026,arXiv,http://arxiv.org/abs/2602.11291v2,Addresses hierarchical robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Hierarchical failure containment keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1002/adrr.202500072,Grounding Large Language Models for Robot Task Planning Using Closed‐Loop State Feedback,2025,Advanced Robotics Research,https://doi.org/10.1002/adrr.202500072,Addresses hierarchical robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Hierarchical failure containment keeps action-critical alternatives explicit until a physical observation collapses them.
3,arxiv:2506.22827v3,Hierarchical Vision-Language Planning for Multi-Step Humanoid Manipulation,2025,arXiv,http://arxiv.org/abs/2506.22827v3,Addresses hierarchical robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Hierarchical failure containment keeps action-critical alternatives explicit until a physical observation collapses them.
4,arxiv:2512.03913v1,Hierarchical Vision Language Action Model Using Success and Failure Demonstrations,2025,arXiv,http://arxiv.org/abs/2512.03913v1,Addresses hierarchical robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Hierarchical failure containment keeps action-critical alternatives explicit until a physical observation collapses them.
5,arxiv:2510.01642v2,FailSafe: Reasoning and Recovery from Failures in Vision-Language-Action Models,2025,arXiv,http://arxiv.org/abs/2510.01642v2,Addresses hierarchical robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Hierarchical failure containment keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1109/aim.2011.6027135,State parametrization in optimal control problems and low level controller design for multiple autonomous mobile robot systems,2011,2011 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),https://doi.org/10.1109/aim.2011.6027135,Addresses hierarchical robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Hierarchical failure containment keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.3390/app15062954,Failure Modes Analysis Related to User Experience in Interactive System Design Through a Fuzzy Failure Mode and Effect Analysis-Based Hybrid Approach,2025,Applied Sciences,https://doi.org/10.3390/app15062954,Addresses hierarchical robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Hierarchical failure containment keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1177/02783649251352112,Hierarchical task decomposition for execution monitoring and error recovery: Understanding the rationale behind task demonstrations,2026,The International Journal of Robotics Research,https://doi.org/10.1177/02783649251352112,Addresses hierarchical robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Hierarchical failure containment keeps action-critical alternatives explicit until a physical observation collapses them.
9,arxiv:2601.17507v1,MetaWorld: Skill Transfer and Composition in a Hierarchical World Model for Grounding High-Level Instructions,2026,arXiv,http://arxiv.org/abs/2601.17507v1,Addresses hierarchical robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Hierarchical failure containment keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2412.00171v3,RoboMatrix: A Skill-centric Hierarchical Framework for Scalable Robot Task Planning and Execution in Open-World,2024,arXiv,http://arxiv.org/abs/2412.00171v3,Addresses hierarchical robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Hierarchical failure containment keeps action-critical alternatives explicit until a physical observation collapses them.
11,doi:10.1108/josm-07-2024-0323,How task objectivity shapes customer responses to robot service failure,2025,Journal of Service Management,https://doi.org/10.1108/josm-07-2024-0323,Addresses hierarchical robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Hierarchical failure containment keeps action-critical alternatives explicit until a physical observation collapses them.
