task,regime,split,seed,low_load,mid_load,high_load,cascade_load,budget_load,delay_load,false_halt_load,damage_load
contact_rich_insertion,low_level_skill_anomaly,nominal,0,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974
contact_rich_insertion,low_level_skill_anomaly,nominal,1,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974
contact_rich_insertion,low_level_skill_anomaly,nominal,2,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974
contact_rich_insertion,low_level_skill_anomaly,nominal,3,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974
contact_rich_insertion,low_level_skill_anomaly,nominal,4,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974
contact_rich_insertion,low_level_skill_anomaly,nominal,5,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974
contact_rich_insertion,low_level_skill_anomaly,nominal,6,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974
contact_rich_insertion,low_level_skill_anomaly,nominal,7,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974
contact_rich_insertion,low_level_skill_anomaly,nominal,8,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974
contact_rich_insertion,low_level_skill_anomaly,nominal,9,0.507501,0.136631,0.089654,0.141936,0.18564,0.06552,0.11528,0.210974
contact_rich_insertion,low_level_skill_anomaly,local_anomaly_shift,0,0.873485,0.172224,0.109106,0.17088,0.252144,0.082817,0.144672,0.267808
contact_rich_insertion,low_level_skill_anomaly,local_anomaly_shift,1,0.873485,0.172224,0.109106,0.17088,0.252144,0.082817,0.144672,0.267808
contact_rich_insertion,low_level_skill_anomaly,local_anomaly_shift,2,0.873485,0.172224,0.109106,0.17088,0.252144,0.082817,0.144672,0.267808
contact_rich_insertion,low_level_skill_anomaly,local_anomaly_shift,3,0.873485,0.172224,0.109106,0.17088,0.252144,0.082817,0.144672,0.267808
contact_rich_insertion,low_level_skill_anomaly,local_anomaly_shift,4,0.873485,0.172224,0.109106,0.17088,0.252144,0.082817,0.144672,0.267808
contact_rich_insertion,low_level_skill_anomaly,local_anomaly_shift,5,0.873485,0.172224,0.109106,0.17088,0.252144,0.082817,0.144672,0.267808
contact_rich_insertion,low_level_skill_anomaly,local_anomaly_shift,6,0.873485,0.172224,0.109106,0.17088,0.252144,0.082817,0.144672,0.267808
contact_rich_insertion,low_level_skill_anomaly,local_anomaly_shift,7,0.873485,0.172224,0.109106,0.17088,0.252144,0.082817,0.144672,0.267808
contact_rich_insertion,low_level_skill_anomaly,local_anomaly_shift,8,0.873485,0.172224,0.109106,0.17088,0.252144,0.082817,0.144672,0.267808
contact_rich_insertion,low_level_skill_anomaly,local_anomaly_shift,9,0.873485,0.172224,0.109106,0.17088,0.252144,0.082817,0.144672,0.267808
contact_rich_insertion,low_level_skill_anomaly,subgoal_corruption_shift,0,0.665609,0.253169,0.129761,0.199392,0.275264,0.092701,0.15488,0.305267
contact_rich_insertion,low_level_skill_anomaly,subgoal_corruption_shift,1,0.665609,0.253169,0.129761,0.199392,0.275264,0.092701,0.15488,0.305267
contact_rich_insertion,low_level_skill_anomaly,subgoal_corruption_shift,2,0.665609,0.253169,0.129761,0.199392,0.275264,0.092701,0.15488,0.305267
contact_rich_insertion,low_level_skill_anomaly,subgoal_corruption_shift,3,0.665609,0.253169,0.129761,0.199392,0.275264,0.092701,0.15488,0.305267
contact_rich_insertion,low_level_skill_anomaly,subgoal_corruption_shift,4,0.665609,0.253169,0.129761,0.199392,0.275264,0.092701,0.15488,0.305267
contact_rich_insertion,low_level_skill_anomaly,subgoal_corruption_shift,5,0.665609,0.253169,0.129761,0.199392,0.275264,0.092701,0.15488,0.305267
contact_rich_insertion,low_level_skill_anomaly,subgoal_corruption_shift,6,0.665609,0.253169,0.129761,0.199392,0.275264,0.092701,0.15488,0.305267
contact_rich_insertion,low_level_skill_anomaly,subgoal_corruption_shift,7,0.665609,0.253169,0.129761,0.199392,0.275264,0.092701,0.15488,0.305267
contact_rich_insertion,low_level_skill_anomaly,subgoal_corruption_shift,8,0.665609,0.253169,0.129761,0.199392,0.275264,0.092701,0.15488,0.305267
contact_rich_insertion,low_level_skill_anomaly,subgoal_corruption_shift,9,0.665609,0.253169,0.129761,0.199392,0.275264,0.092701,0.15488,0.305267
contact_rich_insertion,low_level_skill_anomaly,delayed_observation_shift,0,0.721471,0.219299,0.140279,0.242592,0.304912,0.132238,0.172832,0.331675
contact_rich_insertion,low_level_skill_anomaly,delayed_observation_shift,1,0.721471,0.219299,0.140279,0.242592,0.304912,0.132238,0.172832,0.331675
contact_rich_insertion,low_level_skill_anomaly,delayed_observation_shift,2,0.721471,0.219299,0.140279,0.242592,0.304912,0.132238,0.172832,0.331675
contact_rich_insertion,low_level_skill_anomaly,delayed_observation_shift,3,0.721471,0.219299,0.140279,0.242592,0.304912,0.132238,0.172832,0.331675
contact_rich_insertion,low_level_skill_anomaly,delayed_observation_shift,4,0.721471,0.219299,0.140279,0.242592,0.304912,0.132238,0.172832,0.331675
contact_rich_insertion,low_level_skill_anomaly,delayed_observation_shift,5,0.721471,0.219299,0.140279,0.242592,0.304912,0.132238,0.172832,0.331675
contact_rich_insertion,low_level_skill_anomaly,delayed_observation_shift,6,0.721471,0.219299,0.140279,0.242592,0.304912,0.132238,0.172832,0.331675
contact_rich_insertion,low_level_skill_anomaly,delayed_observation_shift,7,0.721471,0.219299,0.140279,0.242592,0.304912,0.132238,0.172832,0.331675
contact_rich_insertion,low_level_skill_anomaly,delayed_observation_shift,8,0.721471,0.219299,0.140279,0.242592,0.304912,0.132238,0.172832,0.331675
contact_rich_insertion,low_level_skill_anomaly,delayed_observation_shift,9,0.721471,0.219299,0.140279,0.242592,0.304912,0.132238,0.172832,0.331675
contact_rich_insertion,low_level_skill_anomaly,false_halt_shift,0,0.727227,0.203416,0.131409,0.200256,0.282336,0.098093,0.236192,0.301679
contact_rich_insertion,low_level_skill_anomaly,false_halt_shift,1,0.727227,0.203416,0.131409,0.200256,0.282336,0.098093,0.236192,0.301679
contact_rich_insertion,low_level_skill_anomaly,false_halt_shift,2,0.727227,0.203416,0.131409,0.200256,0.282336,0.098093,0.236192,0.301679
contact_rich_insertion,low_level_skill_anomaly,false_halt_shift,3,0.727227,0.203416,0.131409,0.200256,0.282336,0.098093,0.236192,0.301679
contact_rich_insertion,low_level_skill_anomaly,false_halt_shift,4,0.727227,0.203416,0.131409,0.200256,0.282336,0.098093,0.236192,0.301679
