ablation,split,task,regime,seed,episode,episodes_per_cell,success,containment_rate,cascade_rate,state_corruption,subgoal_corruption,damage_rate,false_halt,missed_failure,recovery_success,escalation_precision,containment_latency,ece,regret,utility,predicted_containment_risk
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,0,0,6,1,0,0,0,0,0,0,0,1,1,0.335204,0.002,0,1.05241,0
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,0,1,6,1,1,0,0,0,0,0,0,1,0,0.304831,0.002,0,1.11966,0
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,0,2,6,1,1,0,0,0,0,0,0,0,1,0.325525,0.00766673,0,1.08831,0
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,0,3,6,0,1,0,0,0,0,0,0,1,1,0.364657,0.002,0,0.153288,0
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,0,4,6,0,1,0,0,0,0,0,1,1,1,0.340148,0.00222023,0,-0.303298,0
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,0,5,6,1,1,0,0,0,0,0,0,0,1,0.335377,0.002,0,1.08739,0
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,1,0,6,1,1,0,0,0,0,0,0,0,0,0.341653,0.002,0,1.04451,0
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,1,1,6,1,1,0,0,0,0,0,0,1,1,0.334919,0.00392252,0,1.1573,0
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,1,2,6,1,0,0,0,0,0,0,0,0,1,0.344941,0.002,0,0.981048,0
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,1,3,6,0,0,0,0,0,0,0,0,0,1,0.338383,0.00283576,0,-0.0181004,0
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,1,4,6,1,1,0,0,0,0,0,1,0,1,0.340131,0.002,0,0.626722,0
full_risk_calibrated_hierarchical_containment_v5,subgoal_corruption_shift,contact_rich_insertion,low_level_skill_anomaly,1,5,6,1,1,0,0,0,0,0,0,1,1,0.366787,0.002,0,1.15299,0
